,Nodes,density,<k>,k_max,spectral_radius,rank,LB,UB
Karate,34.0,0.1390374331550802,4.588235294117647,17.0,6.7256977276317365,24.0,0.994800630624275,1.0
Student,141.0,0.0300911854103343,4.212765957446808,10.0,6.311929350985164,141.0,0.9954610471908536,0.9999999900517423
Jazz,198.0,0.1405937548069527,27.696969696969695,100.0,40.02737591275795,198.0,0.5545405912318706,0.9999999823046753
FB,329.0,0.0362146934539254,11.878419452887538,63.0,24.44670912468179,324.0,0.8953030478539662,1.0
FB1,320.0,0.0464145768025078,14.80625,113.0,29.729054606988463,320.0,0.8210174856752553,0.9999999966287901
NetSci,379.0,0.0127598386173584,4.823218997361478,34.0,10.375458631159713,358.0,0.9865982746420898,1.0
ER1,100.0,0.07414141414141415,7.34,15.0,8.525763502531683,100.0,0.9913130169027009,0.9999999982080569
ER2,100.0,0.35454545454545455,35.1,46.0,35.77071220910179,100.0,0.6898377334128815,0.999999667299266
